"Product title","Product variant title","Product variant SKU","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Neem & Turmeric Powder in Veg Caps Comb Pack, 100 pcs each","Default Title","HI0001000001",1116,23793,-275.02,-219.49,23298.49,0,23298.49
"Linga Bhairavi Gudi (Miniature Devi Temple)","Default Title","0111025",30,19684,0,-1554,18130,0,18130
"New Instant Sanjeevini Multigrain Health Drink Mix(500 gms). No Added Sugar.","Default Title","NF0006206901",644,7533,0,-52,7481,0,7481
"Pure A2 Desi Cow Ghee(500gm)","Default Title","NF0003106901",143,7056,0,-192,6864,0,6864
"Raw Himalayan Honey, 500 gm","Default Title","8905795000551",264,5280,0,0,5280,0,5280
"Panchamukhi Rudraksha Mala - Bead size 5 mm","Default Title","0111007",52,4452,0,-84,4368,0,4368
"Sanjeevini Multigrain Health Drink Mix, 500 gm","Default Title","NF0006106901",388,3735,0,-145,3590,0,3590
"Consecrated Isha Gauri-Shankar Rudraksha","Default Title","0111009",8,3200,0,0,3200,0,3200
"Dhyanalinga Yantra with Wooden Frame (12 mm)","Default Title","TC0000816900",7,2660,0,0,2660,0,2660
"Adiyogi Statue (12 inch, Metal)","Default Title","TC0007517100",7,2450,0,0,2450,0,2450
"Organic Incense Sandal, 50 Sticks","Default Title","HO0026917101",400,2400,0,0,2400,0,2400
"Bhuta Shuddhi Bhoomi Refill - 16gm","Default Title","YS0008305501",111,2260,0,-40,2220,0,2220
"New Instant Sanjeevini Multigrain Health Drink Mix (250 gms). No sugar Added.","Default Title","8905795000377",333,2493,-167.88,-215.71,2109.41,0,2109.41
"Natural Honey, 500 gm","Default Title","8905795000537",112,2034,0,-18,2016,0,2016
"Triphala Chooranam Tablet","Default Title","HI0003200001",317,1908,0,-6,1902,0,1902
"Organic Turmeric (Haldi) Powder","Default Title","8905795000292",334,1710,0,-40,1670,0,1670
"Handmade Sambrani with Cow Dung Cup, 12 Pcs","Default Title","0110228",254,1560,0,-36,1524,0,1524
"Herbal Toothpaste (Paraben, Fluoride, SLS, & SLES Free), 150 gm","Default Title","BC0000706501",294,1505,0,-35,1470,0,1470
"3 Month Bhuta Shuddhi Refill - Camphor","Default Title","0111035",146,1460,0,0,1460,0,1460
"Kashmir Natural Honey, 500 gm","Default Title","8905795000506",53,1482,0,-104,1378,0,1378
"Vibhuti Energized","Default Title","TC0002500000",270,1355,0,-5,1350,0,1350
"Panchamukhi Rudraksha Mala - Bead size 7 mm","Default Title","0111003",41,1908,-471.5,-196.25,1240.25,0,1240.25
"Hammered Copper Water Bottle, 950 ml","Default Title","0601054",33,1155,0,0,1155,0,1155
"Jeevarasam (Consecrate water at home)","Default Title","0111019",10,1080,0,0,1080,0,1080
"Pancha Bhuta Dharba Grass Meditation Mat","Default Title","0402062",18,1026,0,0,1026,0,1026
"Organic Incense Jasmine, 50 Sticks","Default Title","HO0026817101",162,978,0,-6,972,0,972
"Handmade Dasangam with Cow Dung Cups, 12 Pcs","Default Title","0110229",126,882,0,0,882,0,882
"Hammered Copper Water Jug, 1.5 Liters","Default Title","0601063",16,935,0,-55,880,0,880
"Meditation Chair (Steel)","Default Title","0106546",10,880,0,0,880,0,880
"Linga Bhairavi Silver Pendant - Small","Default Title","0111021",8,972,0,-108,864,0,864
"Sanjeevini Pain Reliever Oil 100ml","Default Title","HI0002103101",78,869,0,-11,858,0,858
"Nilavembu Kasayam Tab 60nos","Default Title","8905795001022",84,840,0,0,840,0,840
"Neem Powder (100 gm). Helps in daily detox","Default Title","HI0000906301",279,897,-39.3,-40.35,817.35,0,817.35
"Hammered Copper Water Storage Pot, 8 Liters","Default Title","0105669",5,800,0,0,800,0,800
"Linga Bhairavi Abhaya Sutra","Default Title","0111068",395,790,0,0,790,0,790
"Cotton Yoga Mat Rubber Coated","Default Title","0402022",22,770,0,0,770,0,770
"Organic Cotton Rug Yoga Mat","Default Title","YS0011600000",10,847,0,-77,770,0,770
"Ojasvini Herbal Snanam Powder (Bath Powder), 500 gm","Default Title","8904256305334",51,765,0,0,765,0,765
"Tulsi Tablet, 60 pcs - Respiratory support","Default Title","8905795000841",145,745,0,-20,725,0,725
"Adiyogi Statue (6 inch, Metal)","Default Title","0111085",7,800,0,-100,700,0,700
"Guru Pooja Set","Default Title","YS0006400000",13,650,0,0,650,0,650
"Consecrated Silver Snake Ring","M","0113678M",16,720,0,-80,640,0,640
"Pancha Bhuta Kit","Default Title","PBK_SG_1",42,630,0,0,630,0,630
"Sadhguru Quote Copper Bottle. For storing and drinking water. A festive gift for home and office.","Default Title","0601139",17,612,0,0,612,0,612
"Pure Multifloral Honey - 500 gms","Default Title","8905795000568",40,660,0,-60,600,0,600
"Mystical Dharba Grass Meditation Mat","Default Title","0402048",10,570,0,0,570,0,570
"Linga Jyoti (Consecrated)","Default Title","0111011",8,560,0,0,560,0,560
"Copper Glass / Tumbler, 400 ml","Default Title","0105628",30,540,0,0,540,0,540
"Linga Bhairavi Silver long Chain. Holds Linga Bhairavi Gold, Silver and Copper pendants","Default Title","CA0042300009",4,524,0,0,524,0,524
"Devi Offering Plate / Gudi Plate","Default Title","0111053",13,520,0,0,520,0,520
"Adiyogi Copper Drinkware Set","Default Title","YS0014200000",8,520,0,0,520,0,520
"Inner Engineering: A Yogi’s Guide to Joy","Default Title","9780143428848",16,640,-130.44,0,509.56,0,509.56
"Cotton Rug Yoga Mat - Orange","Default Title","YS0010800000",14,490,0,0,490,0,490
"Bloom Pollution Defence Organic Face Serum With Lotus Extract (All Skin Types) - 30ml","Default Title","0116065",18,550,0,-100,450,0,450
"Copper Water Storage Pot (Jeevarasam Pot), 10 Liters","Default Title","0111049",2,444,0,0,444,0,444
"Karma - A Yogi's Guide to Crafting Your Destiny","Default Title","9780143452676",19,560,-91.31,-28,440.69,0,440.69
"Bloom Hair Fall Control & Repair Organic Hair Serum With Brahmi & Kalmegh Extract (All Hair Types) - 30ml","Default Title","0116058",22,440,0,0,440,0,440
"Enlightenment - A new beginning","Default Title","ME0042401500",28,420,0,0,420,0,420
"Unisex Undyed Dhoti Pant - Organic Cotton","M","0201108M",19,440,0,-22,418,0,418
"Instant Herbal Dhoop, 20 pcs","Default Title","8905795001480",205,410,0,0,410,0,410
"Copper Water Storage Pot (Jeevarasam Pot), 5 Liters","Default Title","0111051",3,405,0,0,405,0,405
"Consecrated Silver Snake Ring","L","0113678L",10,400,0,0,400,0,400
"Devi Kumkum - Big","Default Title","0111030",133,399,0,0,399,0,399
"Bloom Hairfall Control & Repair Organic Shampoo with Shikakai and Jatamansi (All hair types) - 200ml","Default Title","0116051",16,392,0,0,392,0,392
"Unisex Organic Cotton Sadhana Track Pant - White","M","0401164M",21,385,0,0,385,0,385
"Bamboo Toothbrush - Adult","Default Title","0106737",75,380,0,-5,375,0,375
"Organic Pranayam Cushion","Default Title","0402039",37,380,0,-10,370,0,370
"Copper Water Bottle Engraved with Yogeshwaraya Chant, 450 ml","Default Title","0111159",13,364,0,0,364,0,364
"Jamun Honey","Default Title","8905795033603",15,360,0,0,360,0,360
"A Taste of Well Being","Default Title","9789351363781",27,434,-61.1,-25.45,347.45,0,347.45
"Sadhguru Quote Copper Bottle- Black. For storing and drinking water. A festive gift for home and office.","Default Title","0601141",7,336,0,0,336,0,336
"Triphala Chooranam, 100 gm","Default Title","HI0003306301",60,330,0,0,330,0,330
"Kesh Jyoti (Herbal Shampoo Powder), 100 gm","Default Title","BC0001906301",65,325,0,0,325,0,325
"Chakra copper cuff. Crafted of pure copper with the mantras of the seven chakras engraved across its length","Default Title","0113892",18,342,0,-18,324,0,324
"Kailash Teerth (Water from Mount Kailash)","Default Title","8908005905660",3,324,0,0,324,0,324
"Consecrated Silver Snake Ring","S","0113678S",8,320,0,0,320,0,320
"Hammered Wick Flower Lamp","Default Title","0105281",9,315,0,0,315,0,315
"Bloom Extra Nourishment & Protection Organic Hair Serum With Buriti Oil & Almond Oil (All Hair Types) - 30ml","Default Title","0116057",11,336,0,-28,308,0,308
"Samyama Unisex Organic Cotton Half-sleeve Sadhana T-Shirt - White","Medium","0401162M",20,300,0,0,300,0,300
"Pancha Bhuta Pranayam Cushion","Default Title","0402061",30,300,0,0,300,0,300
"Consecrated Copper Snake Ring","M","0111014",109,366,-49.08,-19.35,297.57,0,297.57
"Herbal Toothpaste (Paraben, Fluoride, SLS, & SLES Free), 50 gm","Default Title","BC0000706001",96,306,0,-18,288,0,288
"Organic Dhoti Pant - Black","M","0201110M",13,286,0,0,286,0,286
"Bloom Hair Fall Control & Repair Organic Conditioner with Hibiscus & Grapeseed Extract (All Hair Types) - 100ml","Default Title","0116053",20,294,0,-14,280,0,280
"Adiyogi Rudraksha with copper chain. Consecrated Isha Panchamukhi (five faced) Rudraksha bead.","Default Title","RS0000100000",23,288,0,-12,276,0,276
"Linga Bhairavi Lamp. Brass lamp. Strong and sturdy oil lamp","Default Title","0111076",5,275,0,0,275,0,275
"Honey Amla, 500 gm","Default Title","8905795000407",13,260,0,0,260,0,260
"Organic Cotton Meditation Mat","Default Title","0402042",7,259,0,0,259,0,259
"Consecrated Devi Cotton Shawl (Angavastram)","Default Title","0111189",21,252,0,0,252,0,252
"Small Copper Water Bottle With Sadhguru Quote, 500ml","Default Title","0111270",9,252,0,0,252,0,252
"Copper Water Bottle With Adiyogi Imprint - 900 ml","Default Title","YS0014100000",5,250,0,0,250,0,250
"Bhairavi Raksha","L","0111226",4,248,0,0,248,0,248
"Bloom Extra Nourishment & Protection Organic Shampoo with Bhringraj & Henna (All Hair Types) - 200ml","Default Title","0116052",10,245,0,0,245,0,245
"Organic Incense Sage, 10 Sticks","Default Title","HO0027300001",161,244.5,0,-3,241.5,0,241.5
"Adiyogi Silver Earring","Default Title","0113604",4,240,0,0,240,0,240
"Shivanga Kit with Mala","Default Title","0111267",16,240,0,0,240,0,240
"Disc Camphor for Linga Bhairavi","Default Title","Disc_Camphor",79,237,0,0,237,0,237
"Bhairavi Sadhana Kit - English","Default Title","0114301",79,237,0,0,237,0,237
"Linga Bhairavi Silver Pendant - Medium","Default Title","0111022",2,232,0,0,232,0,232
"Mystical Meditation Mat","Default Title","0402051",6,222,0,0,222,0,222
"Men Organic Cotton Knitted Drawstring Pants - White","S","0201105S",9,220.5,0,0,220.5,0,220.5
"Death - An Inside Story","Default Title","9780143450832",11,240,0,-20,220,0,220
"Bloom Refreshing & Skin Brightening Shower Gel With Saffron & Sandal Extract (All Skin Types) - 200ml","Default Title","0116068",12,210,0,0,210,0,210
"Handcrafted Hanging Iron Bell","Default Title","0105886",7,210,0,0,210,0,210
"Consecrated Copper Snake Ring","L","0111015",69,210,0,-3,207,0,207
"Miracle of Mind T-shirt","M","CA01950",21,264,-46.96,-12,205.04,0,205.04
"Indian Experience Pranayama Cushion","Default Title","0402056",17,204,0,0,204,0,204
"Linga Bhairavi Copper Pendant - Medium","Default Title","0111016",20,200,0,0,200,0,200
"Isha Balm - 20gms","Default Title","HI0002705601",40,200,0,0,200,0,200
"Organic Dharbha Grass Meditation yoga Mat","Default Title","0402040",4,200,0,0,200,0,200
"Bhairavi Raksha","M","0111225",4,200,0,0,200,0,200
"Hammered Copper Uruli - Medium","Default Title","0105301",3,198,0,0,198,0,198
"Unisex Undyed Dhoti Pant - Organic Cotton","S","0201108S",9,198,0,0,198,0,198
"Adiyogi Copper Water Bottle, 950 ml","Default Title","0105969",3,198,0,0,198,0,198
"Consecrated Adiyogi Cotton Shawl","Default Title","0111137",14,196,0,0,196,0,196
"Dwimukhi Rudraksha Beads - Two Faced","Default Title","0111008",13,240,0,-45,195,0,195
"Unisex Organic Cotton Sadhana Track Pant - White","S","0401164S",10,250,0,-60,190,0,190
"Unisex Organic Cotton Sadhana Track Pant - White","L","0401164L",10,190,0,0,190,0,190
"Organic Incense Lotus, 10 Sticks","Default Title","HO0027200001",122,183,0,0,183,0,183
"Linga Bhairavi Copper Pendant - Small","Default Title","0111073",36,180,0,0,180,0,180
"Devi Vastram","Default Title","0111026",60,195,0,-15,180,0,180
"Sadhguru Photo - 20x20 (With Frame)","Default Title","0801252",6,180,0,0,180,0,180
"Consecrated Copper Snake Ring","S","0111013",60,186,0,-6,180,0,180
"Unisex Undyed Dhoti Pant - Organic Cotton","L","0201108L",8,176,0,0,176,0,176
"Bloom Hair Fall Control & Repair Organic Hair Oil With Sesame Oil & Methi Extract (All Hair Types) - 100ml","Default Title","0116056",9,195,0,-19.5,175.5,0,175.5
"Bloom All in 1 Organic Face Wash WIth Sandalwood & Turmeric Extract (All Skin Types) - 100ml","Default Title","0116060",10,175,0,0,175,0,175
"Linga Bhairavi Camphor","Default Title","HO0072400000",29,174,0,0,174,0,174
"Men Organic Cotton Knitted Drawstring Pants - White","L","0201105L",7,171.5,0,0,171.5,0,171.5
"Hammered Copper Uruli - Small","Default Title","0105302",3,220,0,-55,165,0,165
"Adiyogi Statue (4 inch, Plastic)","Default Title","0111087",27,232.5,-44.12,-25.22,163.16,0,163.16
"Mystic's Musings","Default Title","9788184959840",8,180,0,-20,160,0,160
"Adiyogi Copper Earring","Default Title","0113614",10,160,0,0,160,0,160
"Linga Bhairavi Pendant Rope","Default Title","CA0035800000",51,159,0,-6,153,0,153
"Devi Kumkum (Small). Consecrated. Made from natural ingredients.","Default Title","0111027",102,153,0,0,153,0,153
"Eternal Echoes - A Book Of Poems (1994-2021)","Default Title","EBK_001",3,150,0,0,150,0,150
"Bloom Shine & Glow Skin Brightening Organic Face Wash With Orange & Licorice Extract (All Skin Types) - 100ml","Default Title","0116061",10,165,0,-15,150,0,150
"Women Organic Cotton Knitted Drawstring Pants - Beige","S","0202533S",6,147,0,0,147,0,147
"Kasthuri Manjal (Wild Turmeric Face Pack), 50 gm","Default Title","8905795001404",29,145,0,0,145,0,145
"Men’s Organic Cotton Sadhana Pyjama - White","M","0201120M",4,144,0,0,144,0,144
"Organic Incense Camphor, 10 Sticks","Default Title","HO0027500001",94,142.5,0,-1.5,141,0,141
"Pancha Bhuta Meditation Mat","Default Title","0402063",4,175,0,-35,140,0,140
"Organic Plain Dhoti Pant Indigo","M","0201228",4,140,0,0,140,0,140
"Avighna Yantra Sutra","Default Title","0111309",5,140,0,0,140,0,140
"Cotton White Shawl","Default Title","0203352",7,140,0,0,140,0,140
"Organic Plain Dhoti Pant Olive","M",,4,140,0,0,140,0,140
"Moon phases wall hanging - Vertical","Default Title","0105963",7,140,0,0,140,0,140
"Organic Incense Sandal - 10 Sticks","Default Title","HO0026917001",93,139.5,0,0,139.5,0,139.5
"Unisex Organic Cotton Sadhana Track Pant - White","XL","0401164XL",7,135,0,0,135,0,135
"Beeswax Natural Oil Perfume - Relax","Default Title","0110235",9,150,0,-15,135,0,135
"Handloom cotton towel natural dyed - Large","Default Title","0402076",7,133,0,0,133,0,133
"Aum Namah Shivaya Adjustable Hammered Copper Cuff","Default Title","CA0120500000",12,132,0,0,132,0,132
"Copper Tumbler, 200 ml","Default Title","0105101",12,132,0,0,132,0,132
"Organic Incense Lavander, 10 Sticks","Default Title","0110028",87,132,0,-1.5,130.5,0,130.5
"Organic Incense Vanila Yalang, 10 Sticks","Default Title","HO0028200001",87,130.5,0,0,130.5,0,130.5
"Bhairavi Raksha","S","0111224",3,126,0,0,126,0,126
"Arthi Stand","Default Title","0111045",5,150,0,-25,125,0,125
"Unisex IE 7 Step T-shirt","M","CA0118700300",12,180,-56.12,0,123.88,0,123.88
"Organic Incense Night Queen, 10 Sticks","Default Title","HO0027900001",82,123,0,0,123,0,123
"Women Organic Cotton Embroidered Aum Kurta - Coral","M","0202530M",5,122.5,0,0,122.5,0,122.5
"Men Organic Cotton Embroidered Aum Kurta - White","L","0201102L",7,140,0,-17.5,122.5,0,122.5
"Men Organic Cotton Embroidered Aum Kurta - White","S","0201102S",7,122.5,0,0,122.5,0,122.5
"Organic Incense Musk, 10 Sticks","Default Title","HO0027100001",80,123,0,-3,120,0,120
"Beeswax Natural Oil Perfume - Lily of the Valley","Default Title","0110234",8,135,0,-15,120,0,120
"Handcrafted Antique Diya (Deepam) with Base","Default Title","0105115",10,120,0,0,120,0,120
"Organic Unisex Printed Dhoti Pant Indigo","M","0201233",3,120,0,0,120,0,120
"Samyama Unisex Organic Cotton Sadhana Half-Sleeve T-Shirt - Orange","Medium","0401161M",7,136,0,-17,119,0,119
"Bloom 24 Hours Skin Hydrating Organic Body Lotion With Hibiscus Extract (Normal to Dry Skin) - 100ml","Default Title","0116070",9,137.5,0,-25,112.5,0,112.5
