"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Neem & Turmeric Powder in Veg Caps Comb Pack, 100 pcs each","A.P. Exports","Health - Neem & Turmeric",1116,23793,-275.02,-219.49,23298.49,0,23298.49
"Linga Bhairavi Gudi (Miniature Devi Temple)","Isha Life","Consecrated Devi - Gudi",30,19684,0,-1554,18130,0,18130
"New Instant Sanjeevini Multigrain Health Drink Mix(500 gms). No Added Sugar.","A.P. Exports","Natural Foods - Instant Sanjeevini",644,7533,0,-52,7481,0,7481
"Pure A2 Desi Cow Ghee(500gm)","Isha Life SG","Foods - Ghee",143,7056,0,-192,6864,0,6864
"Raw Himalayan Honey, 500 gm","A.P. Exports","Health - Honey",264,5280,0,0,5280,0,5280
"Panchamukhi Rudraksha Mala - Bead size 5 mm","A.P. Exports","Consecrated - Rudrakshas",52,4452,0,-84,4368,0,4368
"Sanjeevini Multigrain Health Drink Mix, 500 gm","A.P. Exports","Natural Foods - Regular Sanjeevini",388,3735,0,-145,3590,0,3590
"Consecrated Isha Gauri-Shankar Rudraksha","Isha Life SG","Consecrated - Rudrakshas",8,3200,0,0,3200,0,3200
"Dhyanalinga Yantra with Wooden Frame (12 mm)","Isha Life SG","Consecrated - Dhyanalinga Yantra",7,2660,0,0,2660,0,2660
"Adiyogi Statue (12 inch, Metal)","Isha Life SG","Consecrated - Adiyogi Miniatures",7,2450,0,0,2450,0,2450
"Organic Incense Sandal, 50 Sticks","A.P. Exports","Home Decor - Incense Sticks",400,2400,0,0,2400,0,2400
"Bhuta Shuddhi Bhoomi Refill - 16gm","Isha Life SG","Program Accessories",111,2260,0,-40,2220,0,2220
"New Instant Sanjeevini Multigrain Health Drink Mix (250 gms). No sugar Added.","A.P. Exports","Natural Foods - Instant Sanjeevini",333,2493,-167.88,-215.71,2109.41,0,2109.41
"Natural Honey, 500 gm","Isha Life SG","Health - Honey",112,2034,0,-18,2016,0,2016
"Triphala Chooranam Tablet","Isha Life SG","Health - Herbal Supplements",317,1908,0,-6,1902,0,1902
"Organic Turmeric (Haldi) Powder","Isha Life SG","Health - Neem & Turmeric",334,1710,0,-40,1670,0,1670
"Handmade Sambrani with Cow Dung Cup, 12 Pcs","Isha Life SG","Home Decor - Sambrani",254,1560,0,-36,1524,0,1524
"Herbal Toothpaste (Paraben, Fluoride, SLS, & SLES Free), 150 gm","A.P. Exports","Body Care - Toothpaste",294,1505,0,-35,1470,0,1470
"3 Month Bhuta Shuddhi Refill - Camphor","Isha Life SG","Program Accessories",146,1460,0,0,1460,0,1460
"Kashmir Natural Honey, 500 gm","A.P. Exports","Health - Honey",53,1482,0,-104,1378,0,1378
"Consecrated Silver Snake Ring","Isha Life SG","Consecrated - Snake Rings Silver",34,1440,0,-80,1360,0,1360
"Vibhuti Energized","A.P. Exports","Consecrated - Vibhuti",270,1355,0,-5,1350,0,1350
"Panchamukhi Rudraksha Mala - Bead size 7 mm","A.P. Exports","Consecrated - Rudrakshas",41,1908,-471.5,-196.25,1240.25,0,1240.25
"Hammered Copper Water Bottle, 950 ml","A.P. Exports","Yoga Store - Copper Bottles",33,1155,0,0,1155,0,1155
"Jeevarasam (Consecrate water at home)","Isha Life SG","Yoga Store - Copper Water Storage",10,1080,0,0,1080,0,1080
"Pancha Bhuta Dharba Grass Meditation Mat","Isha Life SG","Yoga Store - Dharba Grass Mats",18,1026,0,0,1026,0,1026
"Organic Incense Jasmine, 50 Sticks","A.P. Exports","Home Decor - Incense Sticks",162,978,0,-6,972,0,972
"Unisex Organic Cotton Sadhana Track Pant - White","A.P. Exports","Clothing - Unisex Track Pants",48,960,0,-60,900,0,900
"Handmade Dasangam with Cow Dung Cups, 12 Pcs","A.P. Exports","Home Decor - Dasangam",126,882,0,0,882,0,882
"Meditation Chair (Steel)","Isha Life SG","Yoga Store - Meditation Chairs",10,880,0,0,880,0,880
"Hammered Copper Water Jug, 1.5 Liters","Isha Life SG","Yoga Store - Copper Water Storage",16,935,0,-55,880,0,880
"Linga Bhairavi Silver Pendant - Small","Isha Life SG","Consecrated Devi - Pendants",8,972,0,-108,864,0,864
"Sanjeevini Pain Reliever Oil 100ml","Isha Life SG","Health - Pain Relief Oils",78,869,0,-11,858,0,858
"Nilavembu Kasayam Tab 60nos","Isha Life SG","Health - Nilavembu Kashayam",84,840,0,0,840,0,840
"Neem Powder (100 gm). Helps in daily detox","A.P. Exports","Health - Neem & Turmeric",279,897,-39.3,-40.35,817.35,0,817.35
"Hammered Copper Water Storage Pot, 8 Liters","A.P. Exports","Yoga Store - Copper Water Storage",5,800,0,0,800,0,800
"Unisex Undyed Dhoti Pant - Organic Cotton","Isha Life SG","Clothing - Unisex Dhoti Pants",36,814,0,-22,792,0,792
"Linga Bhairavi Abhaya Sutra","A.P. Exports","Consecrated Devi - Abhaya Sutra",395,790,0,0,790,0,790
"Organic Cotton Rug Yoga Mat","A.P. Exports","Yoga Store - Cotton Rug Mats",10,847,0,-77,770,0,770
"Cotton Yoga Mat Rubber Coated","Isha Life","Yoga Store - Cotton Rug Mats",22,770,0,0,770,0,770
"Ojasvini Herbal Snanam Powder (Bath Powder), 500 gm","Isha Life SG","Body Care - Bath Powder",51,765,0,0,765,0,765
"Tulsi Tablet, 60 pcs - Respiratory support","A.P. Exports","Health - Herbal Supplements",145,745,0,-20,725,0,725
"Adiyogi Statue (6 inch, Metal)","Isha Life SG","Consecrated - Adiyogi Miniatures",7,800,0,-100,700,0,700
"Consecrated Copper Snake Ring","A.P. Exports","Consecrated - Snake Rings Copper",238,762,-49.08,-28.35,684.57,0,684.57
"Guru Pooja Set","A.P. Exports","Consecrated - Pooja Essentials",13,650,0,0,650,0,650
"Pancha Bhuta Kit","Isha Life SG",,42,630,0,0,630,0,630
"Sadhguru Quote Copper Bottle. For storing and drinking water. A festive gift for home and office.","Isha Life SG","Yoga Store - Copper Bottles",17,612,0,0,612,0,612
"Pure Multifloral Honey - 500 gms","Isha Life SG","Health - Honey",40,660,0,-60,600,0,600
"Bhairavi Raksha","A.P. Exports","Consecrated Devi - Raksha",11,574,0,0,574,0,574
"Mystical Dharba Grass Meditation Mat","Isha Life SG","Yoga Store - Dharba Grass Mats",10,570,0,0,570,0,570
"Linga Jyoti (Consecrated)","A.P. Exports","Consecrated - Dhyanalinga Lamps",8,560,0,0,560,0,560
"Copper Glass / Tumbler, 400 ml","Isha Life SG","Yoga Store - Copper Tumblers",30,540,0,0,540,0,540
"Linga Bhairavi Silver long Chain. Holds Linga Bhairavi Gold, Silver and Copper pendants","A.P. Exports","Jewellery - Silver",4,524,0,0,524,0,524
"Adiyogi Copper Drinkware Set","A.P. Exports","Copper - Drinkware",8,520,0,0,520,0,520
"Devi Offering Plate / Gudi Plate","Isha Life SG","Consecrated Devi - Gudi Plate",13,520,0,0,520,0,520
"Inner Engineering: A Yogi’s Guide to Joy","Isha Life SG","Books - English",16,640,-130.44,0,509.56,0,509.56
"Organic Dhoti Pant - Black","A.P. Exports","Clothing - Unisex Dhoti Pants",23,506,0,0,506,0,506
"Cotton Rug Yoga Mat - Orange","Isha Life SG","Yoga Store - Cotton Rug Mats",14,490,0,0,490,0,490
"Samyama Unisex Organic Cotton Half-sleeve Sadhana T-Shirt - White","Isha Life SG","Clothing - Unisex T-Shirts",31,465,0,0,465,0,465
"Miracle of Mind T-shirt","Isha Life SG",,45,552,-78.25,-12,461.75,0,461.75
"Bloom Pollution Defence Organic Face Serum With Lotus Extract (All Skin Types) - 30ml","Isha Life SG","Bloom Skin Care",18,550,0,-100,450,0,450
"Copper Water Storage Pot (Jeevarasam Pot), 10 Liters","Isha Life SG","Yoga Store - Copper Water Storage",2,444,0,0,444,0,444
"Men Organic Cotton Knitted Drawstring Pants - White","A.P. Exports","Clothing - Men's Pants",18,441,0,0,441,0,441
"Karma - A Yogi's Guide to Crafting Your Destiny","Isha Life SG","Books - English",19,560,-91.31,-28,440.69,0,440.69
"Bloom Hair Fall Control & Repair Organic Hair Serum With Brahmi & Kalmegh Extract (All Hair Types) - 30ml","Isha Life SG","Bloom Hair Care",22,440,0,0,440,0,440
"Unisex IE 7 Step T-shirt","Isha Life SG",,45,690,-245.62,-15,429.38,0,429.38
"Enlightenment - A new beginning","A.P. Exports","Books - English",28,420,0,0,420,0,420
"Instant Herbal Dhoop, 20 pcs","Isha Life SG","Home Decor - Incense Cones",205,410,0,0,410,0,410
"Copper Water Storage Pot (Jeevarasam Pot), 5 Liters","Isha Life SG","Yoga Store - Copper Water Storage",3,405,0,0,405,0,405
"Devi Kumkum - Big","A.P. Exports","Consecrated Devi - Pooja Offerings",133,399,0,0,399,0,399
"Bloom Hairfall Control & Repair Organic Shampoo with Shikakai and Jatamansi (All hair types) - 200ml","Isha Life SG","Bloom Hair Care",16,392,0,0,392,0,392
"Bamboo Toothbrush - Adult","A.P. Exports","Body Care - Toothbrush",75,380,0,-5,375,0,375
"Organic Pranayam Cushion","Isha Life SG","Yoga Store - Pranayam Cushions",37,380,0,-10,370,0,370
"Copper Water Bottle Engraved with Yogeshwaraya Chant, 450 ml","Isha Life SG","Yoga Store - Copper Bottles",13,364,0,0,364,0,364
"Jamun Honey","A.P. Exports","Health - Honey",15,360,0,0,360,0,360
"A Taste of Well Being","Isha Life","Books - English",27,434,-61.1,-25.45,347.45,0,347.45
"Sadhguru Quote Copper Bottle- Black. For storing and drinking water. A festive gift for home and office.","Isha Life SG","Yoga Store - Copper Bottles",7,336,0,0,336,0,336
"Triphala Chooranam, 100 gm","Isha Life","Health",60,330,0,0,330,0,330
"Kesh Jyoti (Herbal Shampoo Powder), 100 gm","A.P. Exports","Body Care - Shampoo Powder",65,325,0,0,325,0,325
"Kailash Teerth (Water from Mount Kailash)","Isha Life SG","Consecrated - Kailash Teerth",3,324,0,0,324,0,324
"Chakra copper cuff. Crafted of pure copper with the mantras of the seven chakras engraved across its length","Isha Life SG","Jewellery - Bracelets",18,342,0,-18,324,0,324
"Hammered Wick Flower Lamp","A.P. Exports","Home Decor - Light Holders",9,315,0,0,315,0,315
"Bloom Extra Nourishment & Protection Organic Hair Serum With Buriti Oil & Almond Oil (All Hair Types) - 30ml","Isha Life SG","Bloom Hair Care",11,336,0,-28,308,0,308
"Pancha Bhuta Pranayam Cushion","Isha Life SG","Yoga Store - Pranayam Cushions",30,300,0,0,300,0,300
"Herbal Toothpaste (Paraben, Fluoride, SLS, & SLES Free), 50 gm","Isha Life SG","Body Care - Toothpaste",96,306,0,-18,288,0,288
"Men Organic Cotton Embroidered Aum Kurta - White","Isha Life SG","Clothing - Men's Kurtas",16,297.5,0,-17.5,280,0,280
"Bloom Hair Fall Control & Repair Organic Conditioner with Hibiscus & Grapeseed Extract (All Hair Types) - 100ml","Isha Life SG","Bloom Hair Care",20,294,0,-14,280,0,280
"Organic Plain Dhoti Pant Olive","Isha Life","Clothing - Unisex Dhoti Pants",8,280,0,0,280,0,280
"Adiyogi Rudraksha with copper chain. Consecrated Isha Panchamukhi (five faced) Rudraksha bead.","Isha Life SG","Jewellery - Copper",23,288,0,-12,276,0,276
"Linga Bhairavi Lamp. Brass lamp. Strong and sturdy oil lamp","Isha Life","Consecrated Devi - Lamps",5,275,0,0,275,0,275
"Honey Amla, 500 gm","Isha Life SG","Health - Honey",13,260,0,0,260,0,260
"Organic Cotton Meditation Mat","Isha Life SG","Yoga Store - Cotton Mats",7,259,0,0,259,0,259
"Consecrated Devi Cotton Shawl (Angavastram)","Isha Life SG","Consecrated Devi - Shawls & Vastram",21,252,0,0,252,0,252
"Small Copper Water Bottle With Sadhguru Quote, 500ml","Isha Life SG","Yoga Store - Copper Bottles",9,252,0,0,252,0,252
"Copper Water Bottle With Adiyogi Imprint - 900 ml","A.P. Exports","Copper - Drinkware",5,250,0,0,250,0,250
"Women Organic Cotton Knitted Drawstring Pants - Beige","Isha Life SG","Clothing - Women's Pants",10,245,0,0,245,0,245
"Organic Plain Dhoti Pant Indigo","Isha Life","Clothing - Unisex Dhoti Pants",7,245,0,0,245,0,245
"Bloom Extra Nourishment & Protection Organic Shampoo with Bhringraj & Henna (All Hair Types) - 200ml","Isha Life SG","Bloom Hair Care",10,245,0,0,245,0,245
"Organic Incense Sage, 10 Sticks","Isha Life","Home Decor - Incense Sticks",161,244.5,0,-3,241.5,0,241.5
"Nandhi Ladies Kurta Off White","Isha Life","Clothing - Women's Kurtas",8,240,0,0,240,0,240
"Adiyogi Silver Earring","A.P. Exports","Jewellery - Earrings",4,240,0,0,240,0,240
"Organic Unisex Printed Dhoti Pant Indigo","Isha Life","Clothing - Unisex Dhoti Pants",6,280,0,-40,240,0,240
"Shivanga Kit with Mala","Isha Life SG","Yoga Programmes Kit Supplies (PBK, Bhutashudhi)",16,240,0,0,240,0,240
"Bhairavi Sadhana Kit - English","Isha Life SG","Yoga Programmes Kit Supplies (PBK, Bhutashudhi)",79,237,0,0,237,0,237
"Disc Camphor for Linga Bhairavi","Isha Life SG","Consecrated - Linga Bhairavi",79,237,0,0,237,0,237
"Linga Bhairavi Silver Pendant - Medium","Isha Life SG","Consecrated Devi - Pendants",2,232,0,0,232,0,232
"Mystical Meditation Mat","Isha Life SG","Yoga Store - Cotton Mats",6,222,0,0,222,0,222
"Men Organic Cotton Beige Knitted Drawstring Pants","Isha Life SG","Clothing - Men's Pants",9,245,0,-24.5,220.5,0,220.5
"Men's Beige Hemp Kurta","A.P. Exports","Clothing - Men's Kurtas",9,220.5,0,0,220.5,0,220.5
"Unisex Moon Printed Track Pants - Dark Grey","Isha Life SG","Clothing - Unisex Track Pants",10,220,0,0,220,0,220
"Death - An Inside Story","Isha Life SG","Books - English",11,240,0,-20,220,0,220
"Bloom Refreshing & Skin Brightening Shower Gel With Saffron & Sandal Extract (All Skin Types) - 200ml","Isha Life SG","Bloom Skin Care",12,210,0,0,210,0,210
"Handcrafted Hanging Iron Bell","Isha Life SG","Home Decor Wall Hangings - Bells",7,210,0,0,210,0,210
"Indian Experience Pranayama Cushion","Isha Life SG","Yoga Store - Pranayam Cushions",17,204,0,0,204,0,204
"Linga Bhairavi Copper Pendant - Medium","Isha Life SG","Consecrated Devi - Pendants",20,200,0,0,200,0,200
"Isha Balm - 20gms","A.P. Exports","Health - Balms",40,200,0,0,200,0,200
"Organic Dharbha Grass Meditation yoga Mat","Isha Life","Yoga Store - Dharba Grass Mats",4,200,0,0,200,0,200
"Adiyogi Copper Water Bottle, 950 ml","Isha Life SG","Yoga Store - Copper Bottles",3,198,0,0,198,0,198
"Hammered Copper Uruli - Medium","Isha Life SG","Home Decor - Copper Urilis",3,198,0,0,198,0,198
"Consecrated Adiyogi Cotton Shawl","Isha Life SG","Consecrated - Adiyogi Shawls",14,196,0,0,196,0,196
"Dwimukhi Rudraksha Beads - Two Faced","Isha Life SG","Consecrated - Rudrakshas",13,240,0,-45,195,0,195
"Samyama Unisex Organic Cotton Sadhana Half-Sleeve T-Shirt - Orange","Isha Life","Mens - Tees",11,238,0,-51,187,0,187
"Organic Incense Lotus, 10 Sticks","Isha Life","Home Decor - Incense Sticks",122,183,0,0,183,0,183
"Men’s Organic Cotton Sadhana Pyjama - White","Isha Life SG","Clothing - Men's Pants",5,180,0,0,180,0,180
"Sadhguru Photo - 20x20 (With Frame)","Isha Life SG","Photos",6,180,0,0,180,0,180
"Devi Vastram","Isha Life","Consecrated Devi - Shawls & Vastram",60,195,0,-15,180,0,180
"Linga Bhairavi Copper Pendant - Small","Isha Life SG","Consecrated Devi - Pendants",36,180,0,0,180,0,180
"Organic Mens Om Kurta Maroon","Isha Life","Clothing - Men's Kurtas",8,176,0,0,176,0,176
"Bloom Hair Fall Control & Repair Organic Hair Oil With Sesame Oil & Methi Extract (All Hair Types) - 100ml","Isha Life SG","Bloom Hair Care",9,195,0,-19.5,175.5,0,175.5
